name,greekName,romanName,category,description,status,defense,attack,gender,images__thumbnail,images__regular,relatives__father,relatives__mother,descritpion,greekname,isgod
Aphrodite,"Ἀφροδίτη, Aphroditē",Venus,major olympians,"Goddess of beauty, love, desire, and pleasure. Although married to Hephaestus she had many lovers, most notably Ares, Adonis, and Anchises. She was depicted as an extraordinarily beautiful woman, with poets praising the radiance of her smile in particular. Her symbols include roses and other flowers, the scallop shell, and the myrtle wreath. Her sacred animals include doves and sparrows. Her Roman counterpart is Venus.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project.jpg/640px-Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project.jpg,,,,,yes
Apollo,"Ἀπόλλων, Apóllōn",Apollo,major olympians,"God of music, arts, knowledge, healing, plague, prophecy, poetry, manly beauty, and archery. He is the son of Zeus and Leto, and the twin brother of Artemis. Both Apollo and Artemis use a bow and arrow. Apollo is often incorrectly identified as the god of the sun. Although Apollo is the god of the sun in Roman mythology, Helios is the god of the sun in Greek mythology. In sculpture, Apollo is depicted as a very handsome, beardless young man with long hair and an ideal physique. As the embodiment of perfectionism, he could be cruel and destructive, and his love affairs were rarely happy. He often appears in the company of the Muses. His attributes include the laurel wreath and lyre. His sacred animals include roe deer, swans, cicadas, hawks, ravens, crows, foxes, mice, and snakes. His Roman counterpart is also named Apollo",immortal,10000,10000,male,,https://upload.wikimedia.org/wikipedia/commons/6/6c/Niobe_JacquesLouisDavid_1772_Dallas_Museum_of_Art.jpg,,,,,yes
Ares,"Ἄρης, Árēs",Mars,major olympians,"God of war, bloodshed, and violence. The son of Zeus and Hera, he was depicted as a beardless youth, either nude with a helmet and spear or sword, or as an armed warrior. Homer portrays him as moody and unreliable, and he generally represents the chaos of war in contrast to Athena, a goddess of military strategy and skill. Ares is known for cuckolding his brother Hephaestus and conducting an affair with Aphrodite. His sacred animals include vultures, venomous snakes, dogs, and boars. His Roman counterpart Mars by contrast was regarded as the dignified ancestor of the Roman people.",immortal,10000,10000,male,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Jacques-Louis_David_Aphrodite_Ares_Graces.jpg/523px-Jacques-Louis_David_Aphrodite_Ares_Graces.jpg,,,,,yes
Artemis,"Ἄρτεμις, Ártemis",Diana,major olympians,"Virgin goddess of the hunt, wilderness, animals, young girls, childbirth, and plague. In later times Artemis became associated with bows and arrows. She is the daughter of Zeus and Leto, and twin sister of Apollo. In art she is often depicted as a young woman dressed in a short knee-length chiton and equipped with a hunting bow and a quiver of arrows. Her attributes include hunting spears, animal pelts, deer and other wild animals. Her sacred animals include deer, bears, and wild boars. Her Roman counterpart is Diana.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Tizian_015.jpg/834px-Tizian_015.jpg,,,,,no
Athena,"Ἀθηνᾶ, Athēnâ",Minerva,major olympians,"Goddess of reason, wisdom, intelligence, skill, peace, warfare, battle strategy, and handicrafts. According to most traditions, she was born from Zeus's forehead, fully formed and armored. She is depicted as being crowned with a crested helm, armed with shield and spear, and wearing the aegis over a long dress. Poets describe her as ""grey-eyed"" or having especially bright, keen eyes. She is a special patron of heroes such as Odysseus. She is the patron of the city Athens (which was named after her) and is attributed to various inventions in arts and literature. Her symbol is the olive tree. She is commonly shown as being accompanied by her sacred animal, the owl. Her Roman counterpart is Minerva.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Mengs%2C_Urteil_des_Paris.jpg/634px-Mengs%2C_Urteil_des_Paris.jpg,,,,,no
Demeter,"Δημήτηρ, Dēmētēr",Ceres,major olympians,"Goddess of grain, agriculture, harvest, growth, and nourishment. Demeter is a daughter of Cronus and Rhea, and a sister of Zeus, by whom she bore Persephone. Demeter is one of the main deities of the Eleusinian Mysteries, in which her power over the life cycle of plants symbolizes the passage of the human soul through life and into the afterlife. She is depicted as a mature woman, often crowned and holding sheafs of wheat and a torch. Her symbols are the cornucopia, wheat-ears, the winged serpent, and the lotus staff. Her sacred animals include pigs and snakes. Her Roman counterpart is Ceres.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/CSA-T46-%2410-1861_%281862_in_error%29.jpg/800px-CSA-T46-%2410-1861_%281862_in_error%29.jpg,,,,,no
Dionysus/Bacchus,"Διόνυσος, Diónysos/Βάκχος, Bákkhos",Bacchus,major olympians,"God of wine, fruitfulness, parties, festivals, madness, chaos, drunkenness, vegetation, and ecstasy. In art he is depicted as either an older bearded god or an effeminate, long-haired youth. His attributes include the thyrsus, a drinking cup, the grape vine, and a crown of ivy. He is often in the company of his thiasos, a group of attendants including satyrs, maenads, and his old tutor Silenus. The consort of Dionysus was Ariadne. His sacred animals include dolphins, serpents, tigers, and donkeys. A later addition to the Olympians, in some accounts he replaced Hestia. Bacchus was another name for him in Greek, and came into common usage among the Romans.",immortal,10000,10000,male,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Dionysos_on_a_cheetah%2C_Pella%2C_Greece.jpg/623px-Dionysos_on_a_cheetah%2C_Pella%2C_Greece.jpg,,,,,no
Hades/Pluto,"ᾍδης, Hádēs/Πλούτων, Ploutōn",male,major olympians,"God of the underworld and the dead. His consort is Persephone. His attributes are the drinking horn or cornucopia, key, sceptre, and the three-headed dog Cerberus. His sacred animals include the screech owl. He was one of three sons of Cronus and Rhea, and thus sovereign over one of the three realms of the universe, the underworld. As a chthonic god, however, his place among the Olympians is ambiguous. In the mystery religions and Athenian literature, Pluto (""the Rich"") was his preferred name, with Hades referring to the underworld itself. The Romans translated Plouton as Dis Pater (""the Rich Father"") or Pluto.",immortal,10000,10000,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Hades_abducting_Persephone.jpg/800px-Hades_abducting_Persephone.jpg,,,,,no
Hephaestus,"Ἥφαιστος, Hḗphaistos",Vulcan,major olympians,"God of fire, metalworking, and crafts. Either the son of Zeus and Hera or Hera alone, he is the smith of the gods and the husband of the adulterous Aphrodite. He was usually depicted as a bearded, crippled man with hammer, tongs, and anvil, and sometimes riding a donkey. His sacred animals include the donkey, the guard dog, and the crane. Among his creations was the armor of Achilles. Hephaestus used the fire of the forge as a creative force, but his Roman counterpart Vulcan was feared for his destructive potential and associated with the volcanic power of the earth.",immortal,10000,10000,male,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Peter_Paul_Rubens_177.jpg/713px-Peter_Paul_Rubens_177.jpg,,,,,no
Hera,"Ἥρα, Hḗra",Juno,major olympians,"Queen of the gods, and goddess of marriage, women, childbirth, heirs, kings, and empires. She is the wife and sister of Zeus, and the daughter of Cronus and Rhea. She was usually depicted as a regal woman in the prime of her life, wearing a diadem and veil and holding a lotus-tipped staff. Although she is the goddess of marriage, Zeus's many infidelities drive her to jealousy and vengefulness. Her sacred animals include the heifer, the peacock, and the cuckoo. Her Roman counterpart is Juno.",immortal,10000,10000,female,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Jacopo_Tintoretto_-_The_Origin_of_the_Milky_Way_-_Google_Art_Project.jpg/670px-Jacopo_Tintoretto_-_The_Origin_of_the_Milky_Way_-_Google_Art_Project.jpg,,,,,no
